name,city,address,website,email,phone,fax,employees,year_founded,net_assets
Abacus Maschinenbau GmbH,Osnabrück,Abacus Maschinenbau GmbH Eduard-Pestel-Str. 12 49080 Osnabrück Deutschland,www.abacus-gmbh.de,info@abacus-gmbh.de,+49 541-990210,+49 541-990210-,,,
abas Software GmbH,Karlsruhe,abas Software GmbH Gartenstr. 67 76135 Karlsruhe Deutschland,abas-erp.com,info@abas.de,+49 721-9672301,+49 721679651,,,
ABB AG Division Robotics,Friedberg,ABB AG Division Robotics Grüner Weg 6 61169 Friedberg Deutschland,abb.de/robotics,robotics@de.abb.com,+49 6031-85-0,+49 603185297,,,
ABB Automation Products GmbH Motors & Drives,Ladenburg,ABB Automation Products GmbH Motors & Drives Wallstadter Str. 59 68526 Ladenburg Deutschland,www.abb.de,motors.drives@de.abb.com,+49 6203-710,+49 6203-71-2351,,,
ABB Schweiz AG,Baden,ABB Schweiz AG Braun-Boweri-Str. 6 5400 Baden Schweiz,www.abb.ch,media.relations@ch.abb.com,+41 41585882571,+41 585850100,,,
ABB Stotz-Kontakt GmbH,Heidelberg,ABB Stotz-Kontakt GmbH Eppelheimer Str. 82 69123 Heidelberg Deutschland,www.abb.de/stotz-kontakt,info.stotz@de.abb.com,+49 6221-701-1352,+49 6221-701-1325,,,
Abel GmbH & Co. KG,Büchen,Abel GmbH & Co. KG Abel-Twiete 1 21514 Büchen Deutschland,www.abel.de,mail@abel.de,+49 4155-818-0,+49 4155818499,,,
Abels & Kemmner GmbH,Herzogenrath,Abels & Kemmner GmbH Kaiserstr. 100 52134 Herzogenrath Deutschland,www.ak-online.de,ak@ak-online.de,+49 2407-95650,+49 2407956540,,,
Abnox AG,CHAM,Abnox AG Langackerstr. 25 6330 CHAM Schweiz,www.abnox.com,,+41 417804455,+41 417804450,,,
ABUS August Bremicker Söhne KG,Wetter,ABUS August Bremicker Söhne KG Altenhofer Weg 25 58300 Wetter Deutschland,www.abus.com/ger,info@abus.de,+49 2335-6340,+49 2335634109,,,
Acatec AG,Gehrden,Acatec AG Am Spehrteich 12 30989 Gehrden Deutschland,www.acatec.de,acatec@acatec.de,+49 5108-91590,+49 5108/915999,,,
ACCIO Catalonia Trade & Investment,Stuttgart,ACCIO Catalonia Trade & Investment Kronenstr. 39 70174 Stuttgart Deutschland,www.catalonia.com,,+49 7116697611,+49 7116697616,,,
ACCRETECH Europe GmbH,München,ACCRETECH Europe GmbH Landsberger Str. 396 81241 München Deutschland,www.accretech.de,sf-g-info@accretech.de,+49 89 250064 200,+49 89 250064 210,,,
Acculogic GmbH,Hamburg,Acculogic GmbH Papenreye 51 22453 Hamburg Deutschland,www.acculogic.com,sales@acculogic.com,+49 40-557870,+49 4055787555,,,
ACD Elektronik GmbH,Achstetten,ACD Elektronik GmbH Engelberg 2 88480 Achstetten Deutschland,www.acd-elektronik.de,info@acd-elektronik.de,+49 7392 7080,+49 7392 708190,,,
ACE Stoßdämpfer GmbH,Langenfeld,ACE Stoßdämpfer GmbH Albert-Einstein-Str. 15 40764 Langenfeld Deutschland,www.ace-ace.de,info@ace-ace.de,+49 2173-9226-10,+49 2173922619,,,
ACI Laser GmbH,Grammetal,ACI Laser GmbH Steinbrüchenstr. 14 99428 Grammetal Deutschland,www.aci-laser.de,kontakt@ACI-laser.de,+49 37123870130,+49 3643415277,40 Mitarbeiter,1999,
ACS-Control-System GmbH Elektronische Kontrollsysteme,Eggenfelden,ACS-Control-System GmbH Elektronische Kontrollsysteme Lauterbachstr. 57 84307 Eggenfelden Deutschland,www.acs-controlsystem.de,info@acs-controlsystem.de,+49 8721 96680,+49 8721 966830,,,
ACTech GmbH,Freiberg,ACTech GmbH Halsbrücker Str. 51 09599 Freiberg Deutschland,www.actech.de,kmr@actech.de,+49 3731 1690,+49 3731 169500,,,
ACTEGA DS GmbH,Bremen,ACTEGA DS GmbH Straubinger Str. 12 28219 Bremen Deutschland,www.actega.com,info.actega.ds@altana.com,+49 421 390020,+49 421 3900279,,,
Actemium Controlmatic GmbH,Frankfurt,Actemium Controlmatic GmbH Colmarer Str. 11 60528 Frankfurt Deutschland,www.actemium.de,info@actemium.de,+49 69-5005-1600,+49 5073304,,,
Actronic-Solutions GmbH,Adelsdorf,Actronic-Solutions GmbH Untere Bachgasse 5 a 91325 Adelsdorf Deutschland,www.actronic-solutions.de,info@actronic-solutions.de,+49 9195-998941-0,+49 9195-929617,,,
ADACTECH Technologies GmbH,Berlin,ADACTECH Technologies GmbH Nunsdorfer Ring 29 12277 Berlin Deutschland,www.adactech.com,info@adactech.com,+49 30-81865818,+49 3081865819,,,
ADDI-DATA GmbH,Rheinmünster,ADDI-DATA GmbH Airport Boulevard 210 77836 Rheinmünster Deutschland,www.addi-data.de,info@addi-data.com,+49 7229-18470,+49 7229/1847200,,,
additive,Leinfelden-Echterdingen,additive Konradin-Verlag Robert Kohlhammer GmbH Ernst-Mey-Straße 8,,media.industrie@konradin.de,07117594552,,,,
ADDITIVE Soft- und Hardware für Technik und Wissenschaft GmbH,Friedrichsdorf,ADDITIVE Soft- und Hardware für Technik und Wissenschaft GmbH Max-Planck-Str. 22 b 61381 Friedrichsdorf Deutschland,www.additive-net.de,info@additive-net.de,+49 6172-59672-0,+49 6172/77613,,,
"AddUp Fives Machining Systems, Inc.",Cébazat,"AddUp Fives Machining Systems, Inc. rue Bleue - 63118 Cébazat Frankreich",www.addupsolutions.com,contact@addupsolutions.com,+33 473 152500,,,,
Adelhelm Kunststoffbeschichtungen GmbH,Eningen,Adelhelm Kunststoffbeschichtungen GmbH Arbachtalstr. 34 72800 Eningen Deutschland,www.adelhelm.de,info@adelhelm.de,+49 7121-988560,+49 71219885629,,,
Adents International,Massy,Adents International avenue Carnot 5 91300 Massy Frankreich,www.adents.com,info@adents.com,+33 1-69321111,+33 1-69320101,,,
AdeQuate Solutions GmbH,Lahr,AdeQuate Solutions GmbH Werderstr. 34 77933 Lahr Deutschland,www.AdeQuateSolutions.com,info@AdeQuateSolutions.com,+49 6403/73815,+49 78219237620,,,
ADLINK Technology GmbH,Mannheim,ADLINK Technology GmbH Hans-Thoma-Str. 11 68163 Mannheim Deutschland,adlinktech.com,emea@adlinktech.com,+49 9621432140,+49 621-4321430,,,
Adobe Systems GmbH,München,Adobe Systems GmbH Georg-Brauchle-Ring 58 80992 München Deutschland,www.adobe.de,jbaier@adobe.com,+49 89-31705-0,+49 89-31705-705,,,
Adolf Schuch GmbH Lichttechnische Spezialfabrik,Worms,Adolf Schuch GmbH Lichttechnische Spezialfabrik Mainzer Str. 172 67547 Worms Deutschland,www.schuch.de,info@schuch.de,+49 6241 40910,+49 6241 4091171,,,
AdoptSMT Europe GmbH,Grödig b. Salzburg,AdoptSMT Europe GmbH Untersbergstr. 1 5082 Grödig b. Salzburg Österreich,www.adoptsmt.com,info@adoptsmt.com,+43 6246-72440,+43 624672550,,,
ADS GmbH,Pratteln 1,ADS GmbH Hohenrainstr. 10 4133 Pratteln 1 Schweiz,www.ads-engineering.ch,info@ads-engineering.ch,+41 618256899,+41 618211218,,,
ads-tec GmbH,Nürtingen,ads-tec GmbH Heinrich-Hertz-Str. 1 72622 Nürtingen Deutschland,www.ads-tec.de,mailbox@ads-tec.de,+49 711-458-94-0,+49 7022-2522400,,,
AdunaTEC GmbH,Mainhardt,AdunaTEC GmbH Bartensteinstr. 22 74535 Mainhardt Deutschland,www.adunatec.de,info@adunatec.de,+49 7903-9329380,+49 79039329381,,,
ADVANTECH Europe BV Zweigndl. Deutschland,Hilden,ADVANTECH Europe BV Zweigndl. Deutschland Hochdahler Str. 14 40724 Hilden Deutschland,www.advantech.com,info@advantech.de,+49 2103 978850,+49 21039788519,,,
Advantest Europe GmbH,München,Advantest Europe GmbH Stefan-George-Ring 2 81929 München Deutschland,www.advantest.de,info@eu.advantest.com,+49 89-993120,+49 8999312101,,,
AEB GmbH,Stuttgart,AEB GmbH Julius-Hölder-Str. 39 70597 Stuttgart Deutschland,www.aeb.de,info@aeb.de,+49 711-72842300,+49 71172842333,,,
AED Engineering GmbH,München,AED Engineering GmbH Taunusstr. 51 80807 München Deutschland,www.aed-engineering.com,information@aed-engineering.com,+49 89-15984848-0,+49 89-15984848-50,,,
Aegis Software GmbH,Erlangen,Aegis Software GmbH Wetterkreuz 27 a 91058 Erlangen Deutschland,www.aiscorp.com,infode@aiscorp.com,+49 9131 777810,+49 9131 777888,,,
AERO-LIFT Vakuumtechnik GmbH,Geislingen,AERO-LIFT Vakuumtechnik GmbH Turmstr. 1 72351 Geislingen Deutschland,www.aero-lift.de,info@aero-lift.de,+49 7428-94514-0,+49 7428-94514-38,,,
Aerotech GmbH Elektronische Steuerungen,Fürth,Aerotech GmbH Elektronische Steuerungen Gustav-Weißkopf-Str. 18 90768 Fürth Deutschland,www.aerotech.com,sales@aerotechgmbh.de,+49 911-9679370,+49 911-96793720,,,
Aerzen Digital Systems GmbH,Hameln,Aerzen Digital Systems GmbH Hefehof 26 31785 Hameln Deutschland,www.aerzendigital.com,digitalsystems@aerzen.com,+49 5151 40302660,,,,
Aerzener Maschinenfabrik GmbH,Aerzen,Aerzener Maschinenfabrik GmbH Reherweg 28 31855 Aerzen Deutschland,www.aerzen.com,info@aerzen.com,+49 5154 81-0,+49 5154 81-9191,ca. 2.500 Mitarbeiter (weltweit),1864 gegründet,ca. 440 Mio € (AERZEN-Gruppe)
AFB Anlagen- und Filterbau GmbH & Co. KG,Haiger,AFB Anlagen- und Filterbau GmbH & Co. KG Am Tennisplatz 35708 Haiger Deutschland,www.afb-gmbh.de,info@afb-gmbh.de,+49 2771-30070,+49 2771-300716,,,
AfB gemeinnützige GmbH,Düren,AfB gemeinnützige GmbH Willi-Bleicher-Str. 2 52353 Düren Deutschland,www.afb-group.eu,info@afb-group.eu,+49 2421 693710,,,,
Technische Akademie Wuppertal e.V.,Wuppertal,Technische Akademie Wuppertal e.V. Hubertusallee 18 42117 Wuppertal Deutschland,www.taw.de,webmaster@taw.de,+49 202-7495-0,+49 202/7495-202,,,
AFRISO-EURO-INDEX GmbH,Güglingen,AFRISO-EURO-INDEX GmbH Lindenstr. 20 74363 Güglingen Deutschland,www.afriso.com,info@afriso.de,+49 7135-1020,+49 7135102147,,,
Agathon AG Maschinenfabrik,Bellach,Agathon AG Maschinenfabrik Gurzelenstr. 1 4512 Bellach Schweiz,www.agathon.ch,info@agathon.ch,+41 326174500,+41 326174700,,,
Agrichema Materialflusstechnik GmbH & Co.KG,Waldlaubersheim,Agrichema Materialflusstechnik GmbH & Co.KG Feldborn 5 55444 Waldlaubersheim Deutschland,www.agrichema.de,info@agrichema.de,+49 6707-91400,+49 6707-9140-11,,,
Agromatic Regelungstechnik GmbH,Oerlinghausen,Agromatic Regelungstechnik GmbH Stukenbrocker Weg 38 33813 Oerlinghausen Deutschland,www.agromatic.de,info@agromatic.de,+49 9739005202,+49 5202973925,,,
AGT-PSG GmbH & Co. KG,Steinbach,AGT-PSG GmbH & Co. KG Industriestr. 8 a 61449 Steinbach Deutschland,www.agt-psg.de,info@agt-psg.de,+49 6171 97500,+49 6171 975030,,,
AGTOS Ges. für Techn. Oberflächen- systeme mbH,Emsdetten,AGTOS Ges. für Techn. Oberflächen- systeme mbH Gutenbergstr. 14 48282 Emsdetten Deutschland,www.agtos.de,info@agtos.de,+49 2572-960260,+49 257296026111,,,
Aalberts Surface Treatment GmbH,Kerpen,Aalberts Surface Treatment GmbH Boelckestr. 25-57 50171 Kerpen Deutschland,www.aalberts-st.com,kerpen@aalberts-st.com,+49 2237-5020,+49 2237502100,,,
Ahlborn Meß- und Regelungstechnik GmbH,Holzkirchen,Ahlborn Meß- und Regelungstechnik GmbH Eichenfeldstr. 1 83607 Holzkirchen Deutschland,www.ahlborn.com,amr@ahlborn.com,+49 8024-30070,+49 8024/3007-10,,,
AHP Gesellschaft für Informationsverarbeitung mbH,Glücksburg,AHP Gesellschaft für Informationsverarbeitung mbH Holnisstr. 20 24960 Glücksburg Deutschland,www.ahp-gmbh.de,mail@ahp-gmbh.de,+49 4631-61700,+49 463161770,,,
aicep Portugal Global Staatl.Agentur für Investitionen u. Handel,Berlin,aicep Portugal Global Staatl.Agentur für Investitionen u. Handel Zimmerstr. 56 10117 Berlin Deutschland,www.portugalglobal.pt,aicep.berlin@portugalglobal.pt,+49 30-254 10 60,+49 30-254 10 69,,,
AICON 3D Systems GmbH,Braunschweig,AICON 3D Systems GmbH Biberweg 30 c 38114 Braunschweig Deutschland,www.aicon.de,info@aicon.de,+49 531-5800058,+49 531/5800060,,,
AiMESS Services GmbH,Burg,AiMESS Services GmbH Johann-Sebastian-Bach-Str. 60 39288 Burg Deutschland,www.aimess-products.de,info@aimess-products.de,+49 3921-636390,+49 3921-636392,,,
AIR LIQUIDE Deutschland GmbH,Düsseldorf,AIR LIQUIDE Deutschland GmbH Luise-Rainer-Str. 5 40235 Düsseldorf Deutschland,www.airliquide.de,info@airliquide.de,+49 211-66990,+49 211 6699123,,,
Air-Jet AG,Hölstein,Air-Jet AG Bündtenweg 34 4434 Hölstein Schweiz,www.air-jet.ch,info@air-jet.ch,+41 619511375,+41 619511376,,,
AirCom Pneumatic GmbH,Ratingen,AirCom Pneumatic GmbH Siemensstr. 18 40885 Ratingen Deutschland,www.aircom.net,info@aircom.net,+49 2102-73390 0,+49 2102 7339010,,,
Airgroup GmbH & Co. KG,Wettenberg,Airgroup GmbH & Co. KG Im Ostpark 15 35435 Wettenberg Deutschland,www.airgroup.eu,info@airgroup.eu,+49 641 984682-0,+49 641 984682-29,ca. 430 Mitarbeiter,2013 gegründet,
airpower europe GmbH,Rheinbreitbach,airpower europe GmbH Maarweg 30 53619 Rheinbreitbach Deutschland,www.airpower-gmbh.com,info@airpower-gmbh.com,+49 2224 988320,+49 2224 9883219,,,
Airtec Pneumatic GmbH,Kronberg,Airtec Pneumatic GmbH Westerbachstr. 7 61476 Kronberg Deutschland,www.airtec.de,info@airtec.de,+49 6173-9562-00,+49 6173/956249,,,
AIT Austrian Institute of Technology,Wien,AIT Austrian Institute of Technology Giefinggasse 4 1210 Wien Österreich,www.ait.ac.at,office@ait.ac.at,+43 505504126,+43 505504150,,,
Technische Akademie Esslingen e.V.,Ostfildern,Technische Akademie Esslingen e.V. An der Akademie 5 73760 Ostfildern Deutschland,www.tae.de,info@tae.de,+49 711 340080,+49 711/34008-43,70 Mitarbeiter,1955 gegründet,
akf bank GmbH & Co KG,Wuppertal,akf bank GmbH & Co KG Am Diek 50 42277 Wuppertal Deutschland,www.akf.de,info@akf.de,+49 202-257273300,+49 202/ 25727-83300,,,
akYtec GmbH,Hannover,akYtec GmbH Vahrenwalder Str. 269 A 30179 Hannover Deutschland,www.akytec.de,info@akytec.de,+49 511-16596720,+49 511 16596729,,,
Albert Handtmann Armaturenfabrik GmbH & Co. KG,Biberach,Albert Handtmann Armaturenfabrik GmbH & Co. KG Arthur-Handtmann-Str. 11 88400 Biberach Deutschland,www.handtmann.de,info@handtmann.de,+49 7351-342-0,+49 7351-342-4480,,,
MOCOM Compounds GmbH & Co. KG,Hamburg,MOCOM Compounds GmbH & Co. KG Mühlenhagen 35 20539 Hamburg Deutschland,www.mocum.eu,info@mocom.eu,+49 40-78105-0,+49 40-78105-361,,,
Albrecht Jung GmbH & Co. KG,Schalksmühle,Albrecht Jung GmbH & Co. KG Volmestr. 1 58579 Schalksmühle Deutschland,www.jung.de,kundencenter@jung.de,+49 2355/806-0,+49 2355/806-189,,,
Albrecht Präzision GmbH & Co. KG,Wernau,Albrecht Präzision GmbH & Co. KG Antoniusstr. 25 73249 Wernau Deutschland,www.albrecht-germany.com,info@albrecht-germany.com,+49 7153 30060,+49 7153 300611,,,
Albrecht Röders GmbH & Co. KG,Soltau,Albrecht Röders GmbH & Co. KG Scheibenstr. 6 29614 Soltau Deutschland,www.roeders.de,info@roeders.de,+49 5191-603-43,+49 5191-603-38,,,
Alcotec Aluminium Coil Technology GmbH,Ennepetal,Alcotec Aluminium Coil Technology GmbH Pregelstr. 20 58256 Ennepetal Deutschland,www.alcotec.net,info@alcotec.net,+49 2333-86194-0,+49 2333-86194-29,,,
Alfa Laval Mid Europe GmbH,Glinde,Alfa Laval Mid Europe GmbH Wilhelm-Bergner-Str. 7 21509 Glinde Deutschland,www.alfalaval.de,info.mideurope@alfalaval.com,+49 40-72742200,+49 40-7274-4940,rund 16.400 Mitarbeiter,1883 gegründet,"3,6 Mill. Euro Umsatz"
Alfred Kärcher Vertriebs-GmbH,Winnenden,Alfred Kärcher Vertriebs-GmbH Friedrich-List-Str. 4 71364 Winnenden Deutschland,www.kaercher.de,info@vertrieb.kaercher.com,+49 7195-9030,+49 7195-903-2980,,,
Alfred Kuhse GmbH,Winsen,Alfred Kuhse GmbH An der Kleinbahn 39 21423 Winsen Deutschland,kuhse.de,webmaster@kuhse.de,+49 4171-798-0,+49 4171-798-117,,,
Alicona Imaging GmbH,Raaba,Alicona Imaging GmbH Dr.-Auner-Str. 21 A 8074 Raaba Österreich,www.alicona.com,info@alicona.com,+43 316403010700,+43 316403010711,,,
Alino Industrieservice GmbH,Nettetal,Alino Industrieservice GmbH Heidweg 6 b - 8 41334 Nettetal Deutschland,www.alino-is.de,mail@alino-is.de,+49 2157 8957991,+49 2157 8957993,,,
AllCloud GmbH c/o DWF,München,AllCloud GmbH c/o DWF Prinzregentenstr. 78 81675 München Deutschland,www.allcloud.io,info@allcloud.io,+49 89/255524630,,,,
Allgaier Prologis GmbH,Neu-Ulm,Allgaier Prologis GmbH Max-Eyth-Str. 20 89231 Neu-Ulm Deutschland,www.allgaier.com,,+49 731974400,+49 73197440953,,,
Allgaier Werke GmbH,Uhingen,Allgaier Werke GmbH Ulmer Str. 75 73066 Uhingen Deutschland,www.allgaier-group.de,info@allgaier-group.com,+49 7161-3010,+49 7161/32452,,,
Allied Vision Technologies GmbH,Ahrensburg,Allied Vision Technologies GmbH Klaus-Groth-Str. 1 22926 Ahrensburg Deutschland,www.alliedvisiontec.de,info@alliedvision.com,+49 4102-66880,+49 4102668810,,,
ALLTEC Angewandte Laserlicht Technologie GmbH,Selmsdorf,ALLTEC Angewandte Laserlicht Technologie GmbH An der Trave 27-31 23923 Selmsdorf Deutschland,www.fobalaser.com,info@fobalaser.com,+49 38823 550,+49 38823 55399,,,
PSG Germany GmbH,Duisburg,PSG Germany GmbH Hochstr. 150-152 47228 Duisburg Deutschland,www.psgdover.com,info@psgdover.com,+49 2065892050,+49 284296140,,,
ALMIG Kompressoren GmbH,Köngen,ALMIG Kompressoren GmbH Adolf-Ehmann-Str. 2 73257 Köngen Deutschland,www.almig.de,info@almig.de,+49 7024-802-0,+49 7024/802-106,,,
ALMIT GmbH,Michelstadt,ALMIT GmbH Unterer Hammer 3 64720 Michelstadt Deutschland,www.almit.de,info@almit.de,+49 6061-96925-0,+49 6061-96925-18,,,
Altair Engineering GmbH,Böblingen,Altair Engineering GmbH Calwer Str. 7 71034 Böblingen Deutschland,www.altair.de,information@altair.de,+49 7031-62080,+49 7031/6208-99,,,
ALTEC GmbH,Singen,ALTEC GmbH Rudolf-Diesel-Str. 7 78224 Singen Deutschland,www.altec.de,info@altec-singen.de,+49 7731 87110,+49 7731 871111,,,
Altenburger Maschinen Jäckering GmbH,Hamm,Altenburger Maschinen Jäckering GmbH Vorsterhauser Weg 46 59067 Hamm Deutschland,www.jaeckering.de,jaeckering@jaeckering.de,+49 2381-4220,+49 2381422136,,,
Althen GmbH Mess- und Sensortechnik,Kelkheim,Althen GmbH Mess- und Sensortechnik Dieselstr. 2 65779 Kelkheim Deutschland,www.althensensors.com,info@althen.de,+49 6195-7006-0,+49 6195700666,,,
ALWID GmbH,Dinklage,ALWID GmbH Wilder Pool 3 49413 Dinklage Deutschland,www.alwid.de,info@alwid.de,+49 4443-96630,+49 4443-2949,,,
AMADA GmbH,Haan,AMADA GmbH Amada Allee 1 42781 Haan Deutschland,www.amada.de,info@amada.de,+49 2104-2126-0,+49 2104-2126-999,,,
Amato GmbH,Backnang,Amato GmbH Emil-Rathenau-Str. 4 71522 Backnang Deutschland,www.amato-gmbh.de,info@amato-gmbh.de,+49 7191/399 10 10,+49 7191/399 10 20,,,
AMC Analytik & Meßtechnik GmbH Chemnitz,Chemnitz,AMC Analytik & Meßtechnik GmbH Chemnitz Heinrich-Lorenz-Str. 55 09120 Chemnitz Deutschland,www.amc-systeme.de,info@amc-systeme.de,+49 371-38388-0,+49 371-38388-99,,,
AMETEK Germany GmbH BU Zygo,Weiterstadt,AMETEK Germany GmbH BU Zygo Rudolf-Diesel-Str. 16 64331 Weiterstadt Deutschland,www.zygolot.de,zygoinfo.de@ametek.com,+49 6150 543 7064,+49 6150 543 1500,,,
Ametek GmbH Solartron Metrology Division,Meerbusch,Ametek GmbH Solartron Metrology Division Rudolf-Diesel-Str. 16 40670 Meerbusch Deutschland,www.solartronmetrology.de,,+49 2159-9136500,+49 2159-9136505,,,
AMETEK GmbH Division CREAFORM Deutschland,Leinfelden-Echterdingen,AMETEK GmbH Division CREAFORM Deutschland Meisenweg 37 70771 Leinfelden-Echterdingen Deutschland,www.creaform3d.com,creaform.germany@ametek.com,+49 711-18568030,+49 711 1856 8099,,,
Ametek GmbH Taylor Hobson Geschäftsbereich Taylor Hobson,Weiterstadt,Ametek GmbH Taylor Hobson Geschäftsbereich Taylor Hobson Rudolf-Diesel-Str. 16 64331 Weiterstadt Deutschland,https://www.taylor-hobson.com.de/,,+49 6150-543-0,,,,
Andreas Maier GmbH & Co. KG,Fellbach,Andreas Maier GmbH & Co. KG Waiblinger Str. 116 70734 Fellbach Deutschland,amf.de,amf@amf.de,+49 711 / 57 66-0,+49 711 / 57 57 25,,,
AMKmotion GmbH + Co KG,Kirchheim,AMKmotion GmbH + Co KG Gaußstr. 37-39 73230 Kirchheim Deutschland,www.amk-motion.com,info@amk-motion.com,+49 7021-50050,+49 7021-5005199,,,
AMO Automatisierung Meßtechnik Optik GmbH,ST. PETER,AMO Automatisierung Meßtechnik Optik GmbH Nöfing 4 4963 ST. PETER Österreich,www.amo.at,office@amo.at,+43 7722-658560,+43 772265856-11,,,
AmpereSoft GmbH,Bonn,AmpereSoft GmbH Jonas-Cahn-Str. 13 53115 Bonn Deutschland,www.amperesoft.net,info@amperesoft.net,+49 228/608847-0,+49 228/608847-49,,,
OSRAM Opto Semiconductors GmbH,Regensburg,OSRAM Opto Semiconductors GmbH Leibnizstr. 4 93055 Regensburg Deutschland,www.osram.com,webmaster@osram.de,+49 941-8505,+49 9414442454,,,
ams.Solution AG,Kaarst,ams.Solution AG Rathausstr. 1 41564 Kaarst Deutschland,www.ams-erp.com,info@ams-erp.com,+49 2131-406690,+49 2131-40669-69,240 Mitarbeiter,1988 gegründet,
Amsler & Frey AG,SCHINZNACH-DORF,Amsler & Frey AG Feldstr. 26 5107 SCHINZNACH-DORF Schweiz,www.amsler-frey.ch,info@amsler-frey.ch,+41 564636070,+41 564636079,,,
AMSYS GmbH & Co. KG,Mainz,AMSYS GmbH & Co. KG An der Fahrt 4 55124 Mainz Deutschland,www.amsys.de,info@amsys.de,+49 6131-4698750,+49 6131-46987566,,,
AMTAG Alfred Merkelbach Technologies AG,Meerbusch,AMTAG Alfred Merkelbach Technologies AG Lise-Meitner-Str. 2 40670 Meerbusch Deutschland,amtag.net,info@amtag.de,+49 2159-695990,+49 2159/69599-33,,,
