name,city,address,website,email,phone,fax,employees,year_founded,net_assets,net_assets_currency,net_assets_year
abas Software GmbH,Karlsruhe,Gartenstr. 67 76135 Karlsruhe Deutschland,www.abas-erp.com,info@abas.de,+497219672301,+49721679651,,,,,
ABB AG Division Robotics,Friedberg,Grüner Weg 6 61169 Friedberg Deutschland,www.abb.de/robotics,robotics@de.abb.com,+496031850,+49603185297,,,,,
ABB Automation Products GmbH Motors & Drives,Ladenburg,Wallstadter Str. 59 68526 Ladenburg Deutschland,www.abb.de,motors.drives@de.abb.com,+496203710,+496203712351,,,,,
ABB Schweiz AG,Baden,Braun-Boweri-Str. 6 5400 Baden Schweiz,www.abb.ch,media.relations@ch.abb.com,+4141585882571,+41585850100,,,,,
ABB Stotz-Kontakt GmbH,Heidelberg,Eppelheimer Str. 82 69123 Heidelberg Deutschland,www.abb.de/stotz-kontakt,info.stotz@de.abb.com,+4962217011352,+4962217011325,,,,,
Abel GmbH & Co. KG,Büchen,Abel-Twiete 1 21514 Büchen Deutschland,www.abel.de,mail@abel.de,+4941558180,+494155818499,,,,,
Abels & Kemmner GmbH,Herzogenrath,Kaiserstr. 100 52134 Herzogenrath Deutschland,www.ak-online.de,ak@ak-online.de,+49240795650,+492407956540,,,,,
Abnox AG,CHAM,Langackerstr. 25 6330 CHAM Schweiz,www.abnox.com,,+41417804455,+41417804450,,,,,
ABUS August Bremicker Söhne KG,Wetter,Altenhofer Weg 25 58300 Wetter Deutschland,www.abus.com/ger,info@abus.de,+4923356340,+492335634109,,,,,
Acatec AG,Gehrden,Am Spehrteich 12 30989 Gehrden Deutschland,www.acatec.de,acatec@acatec.de,+49510891590,+495108915999,,,,,
ACCIO Catalonia Trade & Investment,Stuttgart,Kronenstr. 39 70174 Stuttgart Deutschland,www.catalonia.com,,+497116697611,+497116697616,,,,,
ACCRETECH Europe GmbH,München,Landsberger Str. 396 81241 München Deutschland,www.accretech.de,sf-g-info@accretech.de,+4989250064200,+4989250064210,,,,,
Acculogic GmbH,Hamburg,Papenreye 51 22453 Hamburg Deutschland,www.acculogic.com,sales@acculogic.com,+4940557870,+494055787555,,,,,
ACD Elektronik GmbH,Achstetten,Engelberg 2 88480 Achstetten Deutschland,www.acd-elektronik.de,info@acd-elektronik.de,+4973927080,+497392708190,,,,,
ACE Stoßdämpfer GmbH,Langenfeld,Albert-Einstein-Str. 15 40764 Langenfeld Deutschland,www.ace-ace.de,info@ace-ace.de,+492173922610,+492173922619,,,,,
ACI Laser GmbH,Grammetal,Steinbrüchenstr. 14 99428 Grammetal Deutschland,www.aci-laser.de,kontakt@ACI-laser.de,+4937123870130,+493643415277,40,1999,,,
ACS-Control-System GmbH Elektronische Kontrollsysteme,Eggenfelden,Lauterbachstr. 57 84307 Eggenfelden Deutschland,www.acs-controlsystem.de,info@acs-controlsystem.de,+49872196680,+498721966830,,,,,
ACTech GmbH,Freiberg,Halsbrücker Str. 51 09599 Freiberg Deutschland,www.actech.de,kmr@actech.de,+4937311690,+493731169500,,,,,
ACTEGA DS GmbH,Bremen,Straubinger Str. 12 28219 Bremen Deutschland,www.actega.com,info.actega.ds@altana.com,+49421390020,+494213900279,,,,,
Actemium Controlmatic GmbH,Frankfurt,Colmarer Str. 11 60528 Frankfurt Deutschland,www.actemium.de,info@actemium.de,+496950051600,+495073304,,,,,
Actronic-Solutions GmbH,Adelsdorf,Untere Bachgasse 5 a 91325 Adelsdorf Deutschland,www.actronic-solutions.de,info@actronic-solutions.de,+4991959989410,+499195929617,,,,,
ADACTECH Technologies GmbH,Berlin,Nunsdorfer Ring 29 12277 Berlin Deutschland,www.adactech.com,info@adactech.com,+493081865818,+493081865819,,,,,
ADDI-DATA GmbH,Rheinmünster,Airport Boulevard 210 77836 Rheinmünster Deutschland,www.addi-data.de,info@addi-data.com,+49722918470,+4972291847200,,,,,
additive,Leinfelden-Echterdingen,Konradin-Verlag Robert Kohlhammer GmbH Ernst-Mey-Straße 8,,media.industrie@konradin.de,+497117594552,,,,,,
ADDITIVE Soft- und Hardware für Technik und Wissenschaft GmbH,Friedrichsdorf,Max-Planck-Str. 22 b 61381 Friedrichsdorf Deutschland,www.additive-net.de,info@additive-net.de,+496172596720,+49617277613,,,,,
"AddUp Fives Machining Systems, Inc.",Cébazat,rue Bleue - 63118 Cébazat Frankreich,www.addupsolutions.com,contact@addupsolutions.com,+33473152500,,,,,,
Adelhelm Kunststoffbeschichtungen GmbH,Eningen,Arbachtalstr. 34 72800 Eningen Deutschland,www.adelhelm.de,info@adelhelm.de,+497121988560,+4971219885629,,,,,
Adents International,Massy,avenue Carnot 5 91300 Massy Frankreich,www.adents.com,info@adents.com,+33169321111,+33169320101,,,,,
AdeQuate Solutions GmbH,Lahr,Werderstr. 34 77933 Lahr Deutschland,www.adequatesolutions.com,info@AdeQuateSolutions.com,+49640373815,+4978219237620,,,,,
ADLINK Technology GmbH,Mannheim,Hans-Thoma-Str. 11 68163 Mannheim Deutschland,www.adlinktech.com,emea@adlinktech.com,+499621432140,+496214321430,,,,,
Adobe Systems GmbH,München,Georg-Brauchle-Ring 58 80992 München Deutschland,www.adobe.de,jbaier@adobe.com,+4989317050,+498931705705,,,,,
Adolf Schuch GmbH Lichttechnische Spezialfabrik,Worms,Mainzer Str. 172 67547 Worms Deutschland,www.schuch.de,info@schuch.de,+49624140910,+4962414091171,,,,,
AdoptSMT Europe GmbH,Grödig b. Salzburg,Untersbergstr. 1 5082 Grödig b. Salzburg Österreich,www.adoptsmt.com,info@adoptsmt.com,+43624672440,+43624672550,,,,,
ADS GmbH,Pratteln 1,Hohenrainstr. 10 4133 Pratteln 1 Schweiz,www.ads-engineering.ch,info@ads-engineering.ch,+41618256899,+41618211218,,,,,
ads-tec GmbH,Nürtingen,Heinrich-Hertz-Str. 1 72622 Nürtingen Deutschland,www.ads-tec.de,mailbox@ads-tec.de,+49711458940,+4970222522400,,,,,
AdunaTEC GmbH,Mainhardt,Bartensteinstr. 22 74535 Mainhardt Deutschland,www.adunatec.de,info@adunatec.de,+4979039329380,+4979039329381,,,,,
ADVANTECH Europe BV Zweigndl. Deutschland,Hilden,Hochdahler Str. 14 40724 Hilden Deutschland,www.advantech.com,info@advantech.de,+492103978850,+4921039788519,,,,,
Advantest Europe GmbH,München,Stefan-George-Ring 2 81929 München Deutschland,www.advantest.de,info@eu.advantest.com,+4989993120,+498999312101,,,,,
AEB GmbH,Stuttgart,Julius-Hölder-Str. 39 70597 Stuttgart Deutschland,www.aeb.de,info@aeb.de,+4971172842300,+4971172842333,,,,,
AED Engineering GmbH,München,Taunusstr. 51 80807 München Deutschland,www.aed-engineering.com,information@aed-engineering.com,+4989159848480,+49891598484850,,,,,
Aegis Software GmbH,Erlangen,Wetterkreuz 27 a 91058 Erlangen Deutschland,www.aiscorp.com,infode@aiscorp.com,+499131777810,+499131777888,,,,,
AERO-LIFT Vakuumtechnik GmbH,Geislingen,Turmstr. 1 72351 Geislingen Deutschland,www.aero-lift.de,info@aero-lift.de,+497428945140,+4974289451438,,,,,
Aerotech GmbH Elektronische Steuerungen,Fürth,Gustav-Weißkopf-Str. 18 90768 Fürth Deutschland,www.aerotech.com,sales@aerotechgmbh.de,+499119679370,+4991196793720,,,,,
Aerzen Digital Systems GmbH,Hameln,Hefehof 26 31785 Hameln Deutschland,www.aerzendigital.com,digitalsystems@aerzen.com,+49515140302660,,,,,,
Aerzener Maschinenfabrik GmbH,Aerzen,Reherweg 28 31855 Aerzen Deutschland,www.aerzen.com,info@aerzen.com,+495154810,+495154819191,2500,1864,440000000,€,
AFB Anlagen- und Filterbau GmbH & Co. KG,Haiger,Am Tennisplatz 35708 Haiger Deutschland,www.afb-gmbh.de,info@afb-gmbh.de,+49277130070,+492771300716,,,,,
AfB gemeinnützige GmbH,Düren,Willi-Bleicher-Str. 2 52353 Düren Deutschland,www.afb-group.eu,info@afb-group.eu,+492421693710,,,,,,
Technische Akademie Wuppertal e.V.,Wuppertal,Hubertusallee 18 42117 Wuppertal Deutschland,www.taw.de,webmaster@taw.de,+4920274950,+492027495202,,,,,
AFRISO-EURO-INDEX GmbH,Güglingen,Lindenstr. 20 74363 Güglingen Deutschland,www.afriso.com,info@afriso.de,+4971351020,+497135102147,,,,,
Agathon AG Maschinenfabrik,Bellach,Gurzelenstr. 1 4512 Bellach Schweiz,www.agathon.ch,info@agathon.ch,+41326174500,+41326174700,,,,,
Agrichema Materialflusstechnik GmbH & Co.KG,Waldlaubersheim,Feldborn 5 55444 Waldlaubersheim Deutschland,www.agrichema.de,info@agrichema.de,+49670791400,+496707914011,,,,,
Agromatic Regelungstechnik GmbH,Oerlinghausen,Stukenbrocker Weg 38 33813 Oerlinghausen Deutschland,www.agromatic.de,info@agromatic.de,+499739005202,+495202973925,,,,,
AGT-PSG GmbH & Co. KG,Steinbach,Industriestr. 8 a 61449 Steinbach Deutschland,www.agt-psg.de,info@agt-psg.de,+49617197500,+496171975030,,,,,
AGTOS Ges. für Techn. Oberflächen- systeme mbH,Emsdetten,Gutenbergstr. 14 48282 Emsdetten Deutschland,www.agtos.de,info@agtos.de,+492572960260,+49257296026111,,,,,
Aalberts Surface Treatment GmbH,Kerpen,Boelckestr. 25-57 50171 Kerpen Deutschland,www.aalberts-st.com,kerpen@aalberts-st.com,+4922375020,+492237502100,,,,,
Ahlborn Meß- und Regelungstechnik GmbH,Holzkirchen,Eichenfeldstr. 1 83607 Holzkirchen Deutschland,www.ahlborn.com,amr@ahlborn.com,+49802430070,+498024300710,,,,,
AHP Gesellschaft für Informationsverarbeitung mbH,Glücksburg,Holnisstr. 20 24960 Glücksburg Deutschland,www.ahp-gmbh.de,mail@ahp-gmbh.de,+49463161700,+49463161770,,,,,
aicep Portugal Global Staatl.Agentur für Investitionen u. Handel,Berlin,Zimmerstr. 56 10117 Berlin Deutschland,www.portugalglobal.pt,aicep.berlin@portugalglobal.pt,+49302541060,+49302541069,,,,,
AICON 3D Systems GmbH,Braunschweig,Biberweg 30 c 38114 Braunschweig Deutschland,www.aicon.de,info@aicon.de,+495315800058,+495315800060,,,,,
AiMESS Services GmbH,Burg,Johann-Sebastian-Bach-Str. 60 39288 Burg Deutschland,www.aimess-products.de,info@aimess-products.de,+493921636390,+493921636392,,,,,
AIR LIQUIDE Deutschland GmbH,Düsseldorf,Luise-Rainer-Str. 5 40235 Düsseldorf Deutschland,www.airliquide.de,info@airliquide.de,+4921166990,+492116699123,,,,,
Air-Jet AG,Hölstein,Bündtenweg 34 4434 Hölstein Schweiz,www.air-jet.ch,info@air-jet.ch,+41619511375,+41619511376,,,,,
AirCom Pneumatic GmbH,Ratingen,Siemensstr. 18 40885 Ratingen Deutschland,www.aircom.net,info@aircom.net,+492102733900,+4921027339010,,,,,
Airgroup GmbH & Co. KG,Wettenberg,Im Ostpark 15 35435 Wettenberg Deutschland,www.airgroup.eu,info@airgroup.eu,+496419846820,+4964198468229,430,2013,,,
airpower europe GmbH,Rheinbreitbach,Maarweg 30 53619 Rheinbreitbach Deutschland,www.airpower-gmbh.com,info@airpower-gmbh.com,+492224988320,+4922249883219,,,,,
Airtec Pneumatic GmbH,Kronberg,Westerbachstr. 7 61476 Kronberg Deutschland,www.airtec.de,info@airtec.de,+496173956200,+496173956249,,,,,
AIT Austrian Institute of Technology,Wien,Giefinggasse 4 1210 Wien Österreich,www.ait.ac.at,office@ait.ac.at,+43505504126,+43505504150,,,,,
Technische Akademie Esslingen e.V.,Ostfildern,An der Akademie 5 73760 Ostfildern Deutschland,www.tae.de,info@tae.de,+49711340080,+497113400843,70,1955,,,
akf bank GmbH & Co KG,Wuppertal,Am Diek 50 42277 Wuppertal Deutschland,www.akf.de,info@akf.de,+49202257273300,+492022572783300,,,,,
akYtec GmbH,Hannover,Vahrenwalder Str. 269 A 30179 Hannover Deutschland,www.akytec.de,info@akytec.de,+4951116596720,+4951116596729,,,,,
Albert Handtmann Armaturenfabrik GmbH & Co. KG,Biberach,Arthur-Handtmann-Str. 11 88400 Biberach Deutschland,www.handtmann.de,info@handtmann.de,+4973513420,+4973513424480,,,,,
MOCOM Compounds GmbH & Co. KG,Hamburg,Mühlenhagen 35 20539 Hamburg Deutschland,www.mocum.eu,info@mocom.eu,+4940781050,+494078105361,,,,,
Albrecht Jung GmbH & Co. KG,Schalksmühle,Volmestr. 1 58579 Schalksmühle Deutschland,www.jung.de,kundencenter@jung.de,+4923558060,+492355806189,,,,,
Albrecht Präzision GmbH & Co. KG,Wernau,Antoniusstr. 25 73249 Wernau Deutschland,www.albrecht-germany.com,info@albrecht-germany.com,+49715330060,+497153300611,,,,,
Albrecht Röders GmbH & Co. KG,Soltau,Scheibenstr. 6 29614 Soltau Deutschland,www.roeders.de,info@roeders.de,+49519160343,+49519160338,,,,,
Alcotec Aluminium Coil Technology GmbH,Ennepetal,Pregelstr. 20 58256 Ennepetal Deutschland,www.alcotec.net,info@alcotec.net,+492333861940,+4923338619429,,,,,
Alfa Laval Mid Europe GmbH,Glinde,Wilhelm-Bergner-Str. 7 21509 Glinde Deutschland,www.alfalaval.de,info.mideurope@alfalaval.com,+494072742200,+494072744940,16400,1883,3600000,€,
Alfred Kärcher Vertriebs-GmbH,Winnenden,Friedrich-List-Str. 4 71364 Winnenden Deutschland,www.kaercher.de,info@vertrieb.kaercher.com,+4971959030,+4971959032980,,,,,
Alfred Kuhse GmbH,Winsen,An der Kleinbahn 39 21423 Winsen Deutschland,www.kuhse.de,webmaster@kuhse.de,+4941717980,+494171798117,,,,,
Alicona Imaging GmbH,Raaba,Dr.-Auner-Str. 21 A 8074 Raaba Österreich,www.alicona.com,info@alicona.com,+43316403010700,+43316403010711,,,,,
Alino Industrieservice GmbH,Nettetal,Heidweg 6 b - 8 41334 Nettetal Deutschland,www.alino-is.de,mail@alino-is.de,+4921578957991,+4921578957993,,,,,
AllCloud GmbH c/o DWF,München,Prinzregentenstr. 78 81675 München Deutschland,www.allcloud.io,info@allcloud.io,+4989255524630,,,,,,
Allgaier Prologis GmbH,Neu-Ulm,Max-Eyth-Str. 20 89231 Neu-Ulm Deutschland,www.allgaier.com,,+49731974400,+4973197440953,,,,,
Allgaier Werke GmbH,Uhingen,Ulmer Str. 75 73066 Uhingen Deutschland,www.allgaier-group.de,info@allgaier-group.com,+4971613010,+49716132452,,,,,
Allied Vision Technologies GmbH,Ahrensburg,Klaus-Groth-Str. 1 22926 Ahrensburg Deutschland,www.alliedvisiontec.de,info@alliedvision.com,+49410266880,+494102668810,,,,,
ALLTEC Angewandte Laserlicht Technologie GmbH,Selmsdorf,An der Trave 27-31 23923 Selmsdorf Deutschland,www.fobalaser.com,info@fobalaser.com,+4938823550,+493882355399,,,,,
PSG Germany GmbH,Duisburg,Hochstr. 150-152 47228 Duisburg Deutschland,www.psgdover.com,info@psgdover.com,+492065892050,+49284296140,,,,,
ALMIG Kompressoren GmbH,Köngen,Adolf-Ehmann-Str. 2 73257 Köngen Deutschland,www.almig.de,info@almig.de,+4970248020,+497024802106,,,,,
ALMIT GmbH,Michelstadt,Unterer Hammer 3 64720 Michelstadt Deutschland,www.almit.de,info@almit.de,+496061969250,+4960619692518,,,,,
Altair Engineering GmbH,Böblingen,Calwer Str. 7 71034 Böblingen Deutschland,www.altair.de,information@altair.de,+49703162080,+497031620899,,,,,
ALTEC GmbH,Singen,Rudolf-Diesel-Str. 7 78224 Singen Deutschland,www.altec.de,info@altec-singen.de,+49773187110,+497731871111,,,,,
Altenburger Maschinen Jäckering GmbH,Hamm,Vorsterhauser Weg 46 59067 Hamm Deutschland,www.jaeckering.de,jaeckering@jaeckering.de,+4923814220,+492381422136,,,,,
Althen GmbH Mess- und Sensortechnik,Kelkheim,Dieselstr. 2 65779 Kelkheim Deutschland,www.althensensors.com,info@althen.de,+49619570060,+496195700666,,,,,
ALWID GmbH,Dinklage,Wilder Pool 3 49413 Dinklage Deutschland,www.alwid.de,info@alwid.de,+49444396630,+4944432949,,,,,
AMADA GmbH,Haan,Amada Allee 1 42781 Haan Deutschland,www.amada.de,info@amada.de,+49210421260,+4921042126999,,,,,
Amato GmbH,Backnang,Emil-Rathenau-Str. 4 71522 Backnang Deutschland,www.amato-gmbh.de,info@amato-gmbh.de,+4971913991010,+4971913991020,,,,,
AMC Analytik & Meßtechnik GmbH Chemnitz,Chemnitz,Heinrich-Lorenz-Str. 55 09120 Chemnitz Deutschland,www.amc-systeme.de,info@amc-systeme.de,+49371383880,+493713838899,,,,,
AMETEK Germany GmbH BU Zygo,Weiterstadt,Rudolf-Diesel-Str. 16 64331 Weiterstadt Deutschland,www.zygolot.de,zygoinfo.de@ametek.com,+4961505437064,+4961505431500,,,,,
Ametek GmbH Solartron Metrology Division,Meerbusch,Rudolf-Diesel-Str. 16 40670 Meerbusch Deutschland,www.solartronmetrology.de,,+4921599136500,+4921599136505,,,,,
AMETEK GmbH Division CREAFORM Deutschland,Leinfelden-Echterdingen,Meisenweg 37 70771 Leinfelden-Echterdingen Deutschland,www.creaform3d.com,creaform.germany@ametek.com,+4971118568030,+4971118568099,,,,,
Ametek GmbH Taylor Hobson Geschäftsbereich Taylor Hobson,Weiterstadt,Rudolf-Diesel-Str. 16 64331 Weiterstadt Deutschland,www.taylor-hobson.com.de/,,+4961505430,,,,,,
Andreas Maier GmbH & Co. KG,Fellbach,Waiblinger Str. 116 70734 Fellbach Deutschland,www.amf.de,amf@amf.de,+4971157660,+49711575725,,,,,
AMKmotion GmbH + Co KG,Kirchheim,Gaußstr. 37-39 73230 Kirchheim Deutschland,www.amk-motion.com,info@amk-motion.com,+49702150050,+4970215005199,,,,,
AMO Automatisierung Meßtechnik Optik GmbH,ST. PETER,Nöfing 4 4963 ST. PETER Österreich,www.amo.at,office@amo.at,+437722658560,+4377226585611,,,,,
AmpereSoft GmbH,Bonn,Jonas-Cahn-Str. 13 53115 Bonn Deutschland,www.amperesoft.net,info@amperesoft.net,+492286088470,+4922860884749,,,,,
OSRAM Opto Semiconductors GmbH,Regensburg,Leibnizstr. 4 93055 Regensburg Deutschland,www.osram.com,webmaster@osram.de,+499418505,+499414442454,,,,,
ams.Solution AG,Kaarst,Rathausstr. 1 41564 Kaarst Deutschland,www.ams-erp.com,info@ams-erp.com,+492131406690,+4921314066969,240,1988,,,
Amsler & Frey AG,SCHINZNACH-DORF,Feldstr. 26 5107 SCHINZNACH-DORF Schweiz,www.amsler-frey.ch,info@amsler-frey.ch,+41564636070,+41564636079,,,,,
AMSYS GmbH & Co. KG,Mainz,An der Fahrt 4 55124 Mainz Deutschland,www.amsys.de,info@amsys.de,+4961314698750,+49613146987566,,,,,
AMTAG Alfred Merkelbach Technologies AG,Meerbusch,Lise-Meitner-Str. 2 40670 Meerbusch Deutschland,www.amtag.net,info@amtag.de,+492159695990,+4921596959933,,,,,
Analog Devices GmbH,München,Otl-Aicher-Str. 60-64 80807 München Deutschland,www.analog.com,cic@analog.com,+498976903500,+498976903557,,,,,
Analog Microelectronic GmbH,Mainz,An der Fahrt 13 55124 Mainz Deutschland,www.analogmicro.de,info@analogmicro.de,+496131910730,+4961319107330,,,,,
analyticon instruments gmbh,Rosbach,Dieselstr. 18 61191 Rosbach Deutschland,www.analyticon.eu,info@analyticon.eu,+49600393550,+496003935510,,,,,
Analytik Jena AG,Jena,Konrad-Zuse-Str. 1 07745 Jena Deutschland,www.analytik-jena.com,info@analytik-jena.com,+4936417770,+493641779279,,,,,
ANCA Europe GmbH,Weinheim,Im Technologiepark 15 69469 Weinheim Deutschland,www.anca.com,gerinfo@anca.com,+49621338100,+49621335278,,,,,
Andreas Karl GmbH & Co. KG,Fahrenzhausen,Hauptstr. 26 85777 Fahrenzhausen Deutschland,www.karlnet.de,sales@karl.eu,+498133170,+4981331711,,,,,
Andritz AG,GRAZ,Stattegger Str. 18 8045 GRAZ Österreich,www.andritz.com,welcome@andritz.com,+4331669020,+433166902415,,,,,
Anger Machining GmbH,Traun,Zaunermühlstr. 3 4050 Traun Österreich,www.anger-machining.com,office@anger-machining.com,+437229710410,+43722971041199,,,,,
Angst + Pfister AG,ZÜRICH,Thurgauerstr. 66 8052 ZÜRICH Schweiz,www.angst-pfister.com,ch@angst-pfister.com,+41443066111,+41443021871,,,,,
ANS answer elektronik Service - & Vertriebs GmbH,Limeshain,Heegwaldring 25 63694 Limeshain Deutschland,www.ans-answer.com,info@ans-answer.com,+49604796003,+496047960050,,,,,
ANSYS Germany GmbH,Otterfing,Staudenfeldweg 20 83624 Otterfing Deutschland,www.cfx-germany.com,info-germany@ansys.com,+49802490540,+498024905417,,,,,
ANT GmbH Antriebstechnik,Schweinfurt,Londonstr. 11 97424 Schweinfurt Deutschland,www.ant-antriebstechnik.de,info@ant-antriebstechnik.de,+499721533390,+4997215333918,,,,,
Antares Vision S.r.l.,Travagliato,Via del Ferro 16 25039 Travagliato Italien,www.antaresvision.com,info@antaresvision.com,+39307283500,+39305109958,,,,,
Anton Paar Germany GmbH,Ostfildern,Helmuth-Hirth-Str. 6 73760 Ostfildern Deutschland,www.anton-paar.com,info.de@anton-paar.com,+49711720910,+497117209100711,,,,,
Anton Paar GmbH,GRAZ,Anton Paar Germany GmbH Helmuth-Hirth-Str. 6 73760 Ostfildern Deutschland,www.anton-paar.com,info.de@anton-paar.com,+49711720910,+497117209100711,,,,,
Antonio Basile GmbH Spanntechnik,Nordheim,Lerchenstr. 2 74226 Nordheim Deutschland,www.basilegmbh.de,info@basilegmbh.de,+4971339018270,+4971339018277,,,,,
ANTRIMON Group AG,Muri,Gotthardstr. 3 5630 Muri Schweiz,www.antrimon.com,info@antrimon.com,+41566754030,+41566754031,,,,,
Automationspraxis,Leinfelden-Echterdingen,Konradin-Verlag Robert Kohlhammer GmbH Ernst-Mey-Str. 8 70771 Leinfelden-Echterdingen,www.automationspraxis.industrie.de/,media.industrie.de,+497117594552,,,,,,
Apex Supply Chain Technologies LLC,"Mason, Ohio","Digital Way 4393 45040 Mason, Ohio USA",www.apexsupplychain.com,info@apexsupplychain.com,+15132042100,,,,,,
APIS Informationstechnologien GmbH,Braunschweig,Wolfenbütteler Str. 31 b 38102 Braunschweig Deutschland,www.apis.de,sales@apis.de,+49531707360,+495317073625,,,,,
Apium Additive Technologies GmbH,Karlsruhe,Siemensallee 84 76187 Karlsruhe Deutschland,www.apiumtec.com,info@indmatec.com,+4972168030870,+49721680308777,,,,,
Apparate- und Behälterbau Artur Scheffczik GmbH,Osnabrück,Industriestr. 22 49082 Osnabrück Deutschland,www.scheffczik.de,info@scheffczik.de,+49541959100,+495419591020,,,,,
Appenfelder GmbH,Wiehl,Zum Scherbusch 8 51674 Wiehl Deutschland,www.appenfelder.de,info@appenfelder.de,+49226150100,,,,,,
Apra-Norm Elektromechanik GmbH,Mehren,Bei der untersten Mühle 5 54552 Mehren Deutschland,www.apra.de,vertrieb@apra.de,+4965922040,+496592204100,,,,,
apra-plast Kunststoffgehäuse- Systeme GmbH,Daun,Apra-Norm Elektromechanik GmbH Bei der untersten Mühle 5 54552 Mehren Deutschland,www.apra.de,vertrieb@apra.de,+4965922040,+496592204100,,,,,
"aPriori Technologies, Inc.",Concord,Baker Avenue 300 01742 Concord USA,www.apriori.com,productcost@apriori.com,+19783712006,+19783712008,,,,,
APROTECH GmbH,Nürnberg,Rathsbergstr. 17 90411 Nürnberg Deutschland,www.aprotech.de,info@aprotech.de,+4991165007950,+4991165007979,,,,,
APS delta GmbH,Villingen-Schwenningen,Marie-Curie-Str. 12 78048 Villingen-Schwenningen Deutschland,www.aps-delta.de,issos@aps-delta.de,+49772199260,+497721992650,,,,,
APT GmbH Angewandte Physik & Technologie,Korbach,Waldecker Str. 18 34497 Korbach Deutschland,www.apt-gmbh.net,info@apt-gmbh.net,+4956315018840,,,,,,
Aptean DACH GmbH,Ettlingen,Pforzheimer Str. 128 76275 Ettlingen Deutschland,www.aptean.de,info@apteandach.com,+4972432067200,,,,,,
